name,id,version,github_url,Vi-1,CMT_Vi+1,Vi+1,CMT_Vi+1
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.8.9,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.11.2,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.12.0-rc2,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.9.9,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.4.5,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.11.0,https://github.com/FasterXML/jackson-dataformat-xml,,,,
cn.hutool:hutool-core,80,4.1.1,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.5.1,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.5.2,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.1.10,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.6.2,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,5.2.2,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.6.0,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,5.1.2,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,5.5.2,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.5.18,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.5.15,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,5.0.7,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,5.4.6,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.0.6,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.0.4,https://github.com/looly/hutool,,,,
cn.hutool:hutool-core,80,4.5.7,https://github.com/looly/hutool,,,,
commons-collections:commons-collections,103,3.2.1,https://github.com/apache/commons-collections,,,,
com.h2database:h2,93,1.4.183,https://github.com/h2database/h2database,,,,
com.h2database:h2,93,1.4.199,https://github.com/h2database/h2database,,,,
io.swagger:swagger-codegen,110,2.4.14,https://github.com/swagger-api/swagger-codegen,,,,
io.swagger:swagger-codegen,110,2.1.3,https://github.com/swagger-api/swagger-codegen,,,,
io.swagger:swagger-codegen,110,2.2.3,https://github.com/swagger-api/swagger-codegen,,,,
net.bull.javamelody:javamelody-core,116,1.31.0,https://github.com/javamelody/javamelody,,,,
net.bull.javamelody:javamelody-core,116,1.54.0,https://github.com/javamelody/javamelody,,,,
net.bull.javamelody:javamelody-core,116,1.52.0,https://github.com/javamelody/javamelody,,,,
net.bull.javamelody:javamelody-core,116,1.73.1,https://github.com/javamelody/javamelody,,,,
net.bull.javamelody:javamelody-core,116,1.70.0,https://github.com/javamelody/javamelody,,,,
net.bull.javamelody:javamelody-core,116,1.68.1,https://github.com/javamelody/javamelody,,,,
net.bull.javamelody:javamelody-core,116,1.57.0,https://github.com/javamelody/javamelody,,,,
net.bull.javamelody:javamelody-core,116,1.85.0,https://github.com/javamelody/javamelody,,,,
org.codehaus.jackson:jackson-mapper-asl,159,1.1.0,https://github.com/codehaus/jackson,,,,
org.springframework:spring-core,38,3.0.6.RELEASE,https://github.com/spring-projects/spring-framework,,,,
org.springframework:spring-core,38,5.1.17.RELEASE,https://github.com/spring-projects/spring-framework,,,,
org.springframework:spring-core,38,5.0.10.RELEASE,https://github.com/spring-projects/spring-framework,,,,
org.springframework:spring-core,38,4.0.3.RELEASE,https://github.com/spring-projects/spring-framework,,,,
org.springframework:spring-core,38,3.0.1.RELEASE,https://github.com/spring-projects/spring-framework,,,,
org.springframework:spring-core,38,5.3.0,https://github.com/spring-projects/spring-framework,,,,
org.springframework:spring-core,38,3.0.5.RELEASE,https://github.com/spring-projects/spring-framework,,,,
io.vertx:vertx-web,291,3.9.6,https://github.com/vert-x3/vertx-web,,,,
com.orientechnologies:orientdb-core,239,3.0.30,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.0.10,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.2.36,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.0.15,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.2.23,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.2.22,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,3.0.6,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.2.12,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.2.7,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.0-rc2,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.2.0-rc1,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,3.1.0-M1,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.1.12,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.1.17,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,3.0.15,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,3.0.17,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.0.6,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,1.7.10,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.0.5,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,2.0.2,https://github.com/orientechnologies/orientdb,,,,
com.orientechnologies:orientdb-core,239,1.6.1,https://github.com/orientechnologies/orientdb,,,,
net.sf.mpxj:mpxj,296,7.2.1,https://github.com/joniles/mpxj,,,,
net.sf.mpxj:mpxj,296,7.9.7,https://github.com/joniles/mpxj,,,,
net.sf.mpxj:mpxj,296,7.0.1,https://github.com/joniles/mpxj,,,,
net.sf.mpxj:mpxj,296,8.1.2,https://github.com/joniles/mpxj,,,,
net.sf.mpxj:mpxj,296,7.8.1,https://github.com/joniles/mpxj,,,,
net.sf.mpxj:mpxj,296,7.4.1,https://github.com/joniles/mpxj,,,,
net.sf.mpxj:mpxj,296,7.4.2,https://github.com/joniles/mpxj,,,,
org.apache.wicket:wicket-core,353,1.5.13,https://github.com/apache/wicket,,,,
org.apache.wicket:wicket-core,353,1.5.10,https://github.com/apache/wicket,,,,
org.apache.wicket:wicket-core,353,6.21.0,https://github.com/apache/wicket,,,,
org.apache.wicket:wicket-core,353,9.1.0,https://github.com/apache/wicket,,,,
org.apache.wicket:wicket-core,353,1.5.8,https://github.com/apache/wicket,,,,
org.apache.wicket:wicket-core,353,6.26.0,https://github.com/apache/wicket,,,,
org.apache.wicket:wicket-core,353,6.23.0,https://github.com/apache/wicket,,,,
org.esigate:esigate-core,375,3.4.1,https://github.com/esigate/esigate,,,,
org.esigate:esigate-core,375,4.3,https://github.com/esigate/esigate,,,,
org.http4s:http4s-server_2.13.0-M5,388,0.20.2,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.2.0,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.12.6,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.16.5,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.16.4,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.11.2,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.15.8,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.15.7,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.4.2,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.14.0,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.14.6,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.10,388,0.14.11,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.2.0,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.16.0-RC3,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.12.5,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.9.1,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.9.0,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.18.0-M2,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.11.3,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.18.0-M5,https://github.com/http4s/http4s,,,,
org.http4s:http4s-server_2.11,388,0.11.2,https://github.com/http4s/http4s,,,,
